BURGLARY TO BUSINESS,"January 11, 2017","1300 Nw 1St Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"January 18, 2017","4850 T Rex Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"January 19, 2017","5002 T Rex Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"January 19, 2017","777 W Yamato Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"January 23, 2017","2170 Nw 1St Pl, Boca Raton, Florida"
BURGLARY TO BUSINESS,"January 29, 2017","5800 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"February 5, 2017","500 E Yamato Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"February 6, 2017","1400 W Glades Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"February 15, 2017","3350 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"February 20, 2017","1198 N Dixie Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"March 2, 2017","1700 Nw 1St Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"March 2, 2017","800 E Camino Real, Boca Raton, Florida"
BURGLARY TO BUSINESS,"March 4, 2017","6000 W Glades Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"March 6, 2017","6000 Park Of Commerce Blvd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"March 6, 2017","190 W Palmetto Park Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"March 6, 2017","190 W Palmetto Park Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"March 20, 2017","7200 N Dixie Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"March 30, 2017","1200 Clint Moore Rd, Boca Raton, Florida"
BURGLARY TO HOTEL/ MOTEL,"April 30, 2016","5110 Nw 8Th Ave, Boca Raton, Florida"
BURGLARY TO HOTEL/ MOTEL,"June 5, 2016","701 Nw 53Rd St, Boca Raton, Florida"
BURGLARY TO HOTEL/ MOTEL,"June 11, 2016","1801 N Federal Hwy, Boca Raton, Florida"
BURGLARY TO HOTEL/ MOTEL,"June 18, 2016","201 Se 5Th Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 4, 2016","3451 Ne 5Th Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 4, 2016","4599 Nw 3Rd Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 4, 2016","690 E Jeffery St, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 5, 2016","2170 Ne 5Th Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 7, 2016","425 Buttonwood Pl, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 9, 2016","21446 Town Lakes Dr, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 9, 2016","101 Sw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 13, 2016","6745 N Grande Dr, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 15, 2016","1495 Ne 4Th Ave, Boca Raton, Florida"
